age,salary,experience_years,education_level,department,city_tier,work_hours_per_week,performance_score,promotion_last_5years,target_left_company
39,90831.0,24,Master,Marketing,Tier-3,59,4.3,0,0
38,132217.0,21,Bachelor,HR,Tier-3,37,2.0,1,1
23,61873.0,27,Bachelor,Marketing,Tier-3,49,2.7,1,1
18,114661.0,28,Master,HR,Tier-3,61,4.4,1,1
22,126532.0,12,PhD,Marketing,Tier-3,51,2.9703157894736845,1,0
58,146267.0,17,Master,Finance,Tier-1,36,2.0,1,1
29,29903.0,1,Bachelor,Operations,Tier-3,38,3.2,0,1
43,23020.0,28,Master,Marketing,Tier-3,30,1.8,0,1
63,84772.0,20,Bachelor,HR,Tier-3,58,1.4,0,1
51,105956.0,14,Bachelor,HR,Tier-2,37,4.6,1,1
31,106988.0,26,Master,Finance,Tier-1,33,4.3,1,1
43,84772.0,30,High School,HR,Tier-1,64,4.0,1,1
62,123537.0,14,Master,IT,Tier-1,32,1.2,0,0
44,145991.0,22,High School,Operations,Tier-3,69,4.4,1,0
26,29516.0,23,Bachelor,Marketing,Tier-3,36,2.8,1,1
43,84772.0,12,Bachelor,Operations,Tier-2,56,2.4,1,0
64,135005.0,21,High School,Finance,Tier-1,30,3.2,0,1
39,22396.0,36,Bachelor,Marketing,Tier-3,56,1.4,0,1
64,104082.0,32,High School,Marketing,Tier-1,45,4.0,1,1
47,39129.0,2,High School,IT,Tier-2,67,3.3,1,0
60,148322.0,18,Bachelor,Finance,Tier-2,36,1.7,1,1
34,21591.0,22,PhD,HR,Tier-2,52,1.8,0,1
43,31303.0,28,High School,IT,Tier-1,40,1.7,0,0
53,50561.0,29,Master,IT,Tier-3,62,2.9703157894736845,0,0
18,91719.0,38,Master,Operations,Tier-3,65,3.4,1,1
25,138618.0,24,Bachelor,Operations,Tier-2,66,4.4,0,0
52,112108.0,36,PhD,Operations,Tier-3,46,1.1,1,0
32,148748.0,7,Bachelor,IT,Tier-2,64,1.2,1,1
64,119616.0,15,PhD,HR,Tier-1,34,3.3,0,1
39,144165.0,7,High School,Marketing,Tier-2,61,4.3,1,1
31,106231.0,0,High School,Operations,Tier-1,32,2.3,0,0
43,27314.0,4,High School,HR,Tier-2,64,2.4,1,0
45,137071.0,2,High School,Finance,Tier-3,43,3.4,1,0
40,39623.0,0,Master,Operations,Tier-3,60,2.1,0,1
31,87675.0,3,Master,Marketing,Tier-2,60,1.1,1,0
41,132992.0,39,Bachelor,Finance,Tier-3,46,3.9,1,0
19,116826.0,34,PhD,Finance,Tier-3,53,3.5,1,1
62,85082.0,31,High School,Marketing,Tier-3,52,3.3,1,1
43,149839.0,33,High School,Operations,Tier-1,47,4.0,1,1
31,103624.0,24,PhD,IT,Tier-3,43,3.7,1,0
24,125228.0,9,PhD,Marketing,Tier-1,44,1.8,1,1
20,53130.0,20,Bachelor,Marketing,Tier-2,44,2.4,1,0
64,71756.0,38,PhD,Marketing,Tier-3,35,1.5,0,0
40,117624.0,26,High School,Finance,Tier-3,56,1.5,0,1
63,46292.0,26,High School,HR,Tier-3,44,2.9703157894736845,1,1
60,131785.0,1,High School,IT,Tier-2,65,2.9703157894736845,1,1
64,147331.0,12,High School,Operations,Tier-1,37,4.9,0,1
62,84772.0,8,High School,Operations,Tier-1,44,3.5,1,1
35,89274.0,35,Bachelor,HR,Tier-3,32,1.7,0,0
55,22469.0,21,High School,Marketing,Tier-2,42,1.4,0,0
52,73947.0,25,Bachelor,IT,Tier-2,63,4.3,0,0
32,42534.0,11,High School,Operations,Tier-2,53,3.3,1,1
42,83620.0,16,Master,Operations,Tier-2,69,3.5,1,0
54,68874.0,13,Master,Marketing,Tier-2,61,4.1,1,1
45,69708.0,13,High School,HR,Tier-1,61,3.8,0,1
27,94553.0,33,High School,IT,Tier-1,59,4.3,0,0
56,88344.0,19,Bachelor,HR,Tier-1,42,1.2,0,0
34,69138.0,10,Bachelor,HR,Tier-3,30,4.0,1,1
56,74302.0,15,PhD,IT,Tier-2,63,4.4,0,0
39,67638.0,30,High School,IT,Tier-3,44,2.1,0,1
43,98249.0,5,Master,Operations,Tier-2,43,3.6,1,0
61,125865.0,18,Bachelor,Operations,Tier-1,58,2.3,0,0
42,22719.0,36,High School,IT,Tier-3,63,4.8,0,0
34,42890.0,3,High School,Finance,Tier-1,47,1.1,1,0
30,97236.0,3,Bachelor,Operations,Tier-2,36,3.3,1,0
37,56509.0,19,Master,Finance,Tier-2,58,1.7,0,1
42,62534.0,9,PhD,IT,Tier-2,60,3.8,1,0
21,122302.0,23,High School,Operations,Tier-1,54,1.7,0,0
27,112241.0,34,PhD,HR,Tier-2,67,1.9,1,0
20,38787.0,25,Master,IT,Tier-1,43,2.9703157894736845,0,1
58,146209.0,36,Master,Marketing,Tier-3,37,4.7,1,1
62,68845.0,37,PhD,Finance,Tier-2,56,1.8,0,1
35,77932.0,20,Master,IT,Tier-2,31,1.6,1,1
64,84772.0,39,High School,IT,Tier-2,46,4.0,1,1
53,111659.0,38,PhD,Operations,Tier-3,66,3.0,1,0
64,84772.0,20,Master,Operations,Tier-2,43,4.6,1,0
39,84772.0,9,PhD,Operations,Tier-1,54,1.6,1,0
51,107263.0,37,High School,Marketing,Tier-1,59,3.6,1,1
64,115756.0,3,Master,Operations,Tier-2,58,1.9,1,1
25,80461.0,19,High School,IT,Tier-2,49,1.6,0,0
57,95418.0,16,Master,Operations,Tier-3,50,3.7,0,1
61,86672.0,6,Bachelor,HR,Tier-3,51,3.4,1,1
36,148232.0,3,Master,Operations,Tier-3,64,4.0,1,1
59,54832.0,28,PhD,Marketing,Tier-2,66,2.2,0,0
58,147335.0,13,Master,HR,Tier-3,45,2.8,0,0
54,51966.0,2,High School,IT,Tier-3,46,2.6,1,1
23,92545.0,23,High School,IT,Tier-1,45,4.9,0,1
43,32987.0,36,Master,Finance,Tier-3,31,2.2,0,1
51,84772.0,15,PhD,HR,Tier-1,33,2.2,1,1
62,51575.0,3,Bachelor,Finance,Tier-1,50,2.4,1,0
23,83852.0,23,PhD,HR,Tier-3,68,3.3,1,1
54,147650.0,33,Bachelor,HR,Tier-1,63,2.0,0,0
50,21007.0,29,High School,Marketing,Tier-2,59,4.7,1,0
39,90981.0,17,PhD,Finance,Tier-2,35,2.1,1,0
38,84772.0,18,Bachelor,Marketing,Tier-3,46,4.6,0,1
23,67517.0,30,Master,HR,Tier-2,68,1.4,1,0
23,130022.0,18,High School,IT,Tier-1,54,3.6,0,0
21,49257.0,18,High School,HR,Tier-2,34,4.6,0,1
47,107272.0,21,High School,Marketing,Tier-3,34,1.7,0,1
28,62207.0,23,PhD,Finance,Tier-3,49,4.9,0,1
47,33281.0,11,PhD,Finance,Tier-1,45,2.8,0,0
48,81246.0,29,High School,Marketing,Tier-3,66,4.8,0,1
41,21435.0,37,High School,Finance,Tier-2,69,3.7,1,0
26,118875.0,30,High School,Operations,Tier-3,38,2.2,1,0
20,120686.0,35,PhD,IT,Tier-1,34,1.8,1,1
48,111357.0,18,Bachelor,IT,Tier-3,31,2.2,0,0
57,84772.0,35,Master,IT,Tier-2,38,1.4,1,0
54,25084.0,29,Master,Finance,Tier-1,65,1.6,0,0
53,102197.0,32,PhD,Finance,Tier-2,51,1.4,1,0
41,33507.0,17,Master,HR,Tier-1,51,2.9703157894736845,0,1
48,92595.0,27,High School,HR,Tier-3,51,4.2,1,0
23,103807.0,10,Bachelor,IT,Tier-1,63,1.6,0,1
19,65539.0,32,Master,Operations,Tier-1,58,1.5,1,0
37,135953.0,16,Bachelor,HR,Tier-3,67,3.6,0,0
45,27491.0,5,High School,HR,Tier-2,62,1.8,1,1
28,147706.0,3,Master,Finance,Tier-3,47,1.4,0,0
21,132831.0,19,PhD,Operations,Tier-1,36,1.7,1,0
32,70192.0,26,Bachelor,IT,Tier-3,30,4.7,1,0
23,100395.0,14,High School,HR,Tier-1,62,4.3,1,0
47,143797.0,5,Bachelor,Operations,Tier-3,30,2.4,0,0
55,83888.0,13,Master,Operations,Tier-3,53,3.6,0,0
19,93609.0,10,Master,IT,Tier-2,33,3.1,0,1
32,29077.0,38,PhD,Operations,Tier-1,33,3.7,0,1
28,137440.0,8,High School,Operations,Tier-2,47,3.7,0,1
25,142901.0,25,High School,Operations,Tier-1,56,3.5,1,0
43,40953.0,15,PhD,HR,Tier-3,61,2.1,0,0
62,96919.0,4,PhD,IT,Tier-1,62,1.2,1,0
61,134682.0,9,High School,Operations,Tier-2,57,2.8,1,1
22,141041.0,2,Bachelor,Operations,Tier-2,65,4.6,0,0
23,87889.0,12,Bachelor,HR,Tier-2,35,2.9703157894736845,1,1
43,43821.0,29,PhD,IT,Tier-1,45,4.3,0,0
21,57567.0,5,Bachelor,Finance,Tier-2,63,5.0,0,0
36,135374.0,16,High School,HR,Tier-2,52,1.7,0,0
37,44860.0,18,Master,IT,Tier-2,53,3.8,1,1
50,41195.0,34,Master,Operations,Tier-3,42,3.7,0,0
37,97475.0,25,Bachelor,IT,Tier-3,47,4.9,0,1
29,110874.0,4,PhD,IT,Tier-1,42,4.9,0,0
64,84772.0,28,PhD,IT,Tier-1,66,3.7,1,0
18,41427.0,36,PhD,Finance,Tier-2,68,2.0,0,1
43,120732.0,19,PhD,IT,Tier-3,46,4.2,1,0
31,47083.0,20,PhD,Finance,Tier-2,44,1.4,1,0
55,107046.0,9,Bachelor,Operations,Tier-2,47,4.1,0,0
54,77372.0,4,Master,Finance,Tier-3,52,4.6,1,0
28,143786.0,35,Master,Operations,Tier-3,59,2.5,1,1
53,64064.0,5,Bachelor,Operations,Tier-3,63,3.5,0,1
30,27813.0,25,PhD,Finance,Tier-1,33,2.9703157894736845,0,0
60,51598.0,3,Bachelor,HR,Tier-1,32,2.8,0,0
20,132718.0,38,Master,Marketing,Tier-2,36,2.2,1,1
50,146879.0,38,High School,IT,Tier-1,47,4.0,0,0
23,113106.0,34,Bachelor,Marketing,Tier-3,36,4.7,1,1
27,47082.0,0,PhD,IT,Tier-3,69,4.8,1,0
22,49241.0,23,Master,IT,Tier-1,35,1.7,1,1
40,84772.0,35,Master,Operations,Tier-2,51,4.5,1,1
27,64569.0,5,Master,IT,Tier-2,30,3.9,1,1
61,31745.0,30,Master,IT,Tier-1,33,2.0,0,1
19,46029.0,19,PhD,Finance,Tier-2,58,1.3,0,0
